,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
382,acarau,68,BR,1580021503,94,-2.89,-40.12,78.8,2.24
383,staraya russa,90,RU,1580021503,86,59.93,30.62,32.0,8.95
384,petropavlovsk-kamchatskiy,90,RU,1580021504,100,53.05,158.65,26.6,4.47
385,esperance,68,AU,1580021504,54,-33.87,121.9,78.8,18.34
386,dunedin,50,NZ,1580021341,64,-45.87,170.5,68.0,18.45
387,nichinan,75,JP,1580021504,81,31.6,131.37,53.6,11.41
388,viedma,71,AR,1580021501,43,-40.81,-63.0,65.41,15.3
389,manavgat,55,TR,1580021506,55,36.79,31.44,42.8,9.17
390,hasaki,75,JP,1580021506,81,35.73,140.83,46.0,2.24
391,mehran,0,IR,1580021342,41,33.12,46.16,42.8,4.7
392,pietarsaari,90,FI,1580021507,92,63.67,22.7,28.99,6.93
393,partizanskoye,100,RU,1580021507,78,55.5,94.39,26.6,13.62
394,aleksandrovskiy zavod,95,RU,1580021507,89,51.71,45.01,25.18,18.45
395,eirunepe,66,BR,1580021507,80,-6.66,-69.87,74.7,0.76
396,bay roberts,90,US,1580021507,97,43.73,-84.02,34.0,3.36
397,pirapora,100,BR,1580021509,99,-17.34,-44.94,68.63,2.77
398,vardo,100,NO,1580021510,75,70.37,31.11,23.07,32.21
399,saskylakh,98,RU,1580021510,93,71.92,114.08,-20.65,15.55
400,ushtobe,100,KZ,1580021510,95,45.25,77.98,27.61,4.81
401,piacabucu,74,BR,1580021510,88,-10.41,-36.43,79.68,10.25
402,saint-gaudens,90,FR,1580021510,93,43.08,0.67,46.99,5.82
403,kizema,100,RU,1580021510,94,61.11,44.83,2.55,7.63
404,kiunga,95,PG,1580021510,62,-6.12,141.29,86.95,1.43
405,sarakhs,21,IR,1580021511,93,36.54,61.16,37.4,6.93
406,ceres,90,US,1580021511,100,37.59,-120.96,57.99,3.36
407,haines junction,90,US,1580021511,78,59.23,-135.44,17.6,19.46
408,kamaishi,40,JP,1580021511,44,39.27,141.88,37.4,2.24
409,colonia,20,DE,1580021217,87,50.93,6.95,37.99,5.82
410,san vicente,25,ML,1580021460,11,13.3,-4.9,69.93,10.94
411,derzhavinsk,100,KZ,1580021514,90,51.1,66.32,19.22,29.91
412,bridlington,40,GB,1580021514,93,54.08,-0.19,44.6,16.11
413,faya,0,SA,1580021515,42,18.39,42.45,48.2,6.93
414,sitka,90,US,1580021515,81,57.05,-135.33,42.8,11.54
415,kaeo,4,NZ,1580021404,77,-35.1,173.78,75.99,7.11
416,bosaso,40,SO,1580021515,83,11.28,49.18,78.8,5.82
417,bud,90,US,1580021515,100,39.45,-86.18,33.01,14.99
418,beckley,100,US,1580021516,95,37.78,-81.19,37.4,10.22
419,necochea,0,AR,1580021469,93,-38.55,-58.74,51.01,1.99
420,bonthe,23,SL,1580021516,95,7.53,-12.51,73.65,5.55
421,perth,30,AU,1580021414,28,-31.93,115.83,100.99,13.87
422,ratnagiri,100,IN,1580021517,24,16.98,73.3,92.95,3.67
423,temirtau,75,KZ,1580021518,85,50.05,72.95,15.8,22.37
424,pontes e lacerda,75,BR,1580021463,83,-4.83,-43.37,80.6,2.24
425,jurado,97,CO,1580021518,73,7.11,-77.76,79.72,5.1
426,barguzin,72,RU,1580021519,81,53.62,109.62,14.94,2.39
427,shelburne,90,CA,1580021519,92,44.08,-80.2,35.6,12.75
428,maarianhamina,72,AX,1580021519,86,60.1,19.93,41.0,4.7
429,antofagasta,20,CL,1580021520,88,-23.65,-70.4,72.0,3.36
430,oskarshamn,90,SE,1580021520,81,57.26,16.45,43.0,11.41
431,vestmanna,100,FO,1580021521,100,62.16,-7.17,44.6,16.11
432,stryn,100,NO,1580021521,72,61.9,6.72,43.0,7.0
433,najran,40,SA,1580021521,31,17.49,44.13,57.2,13.87
434,moose factory,90,US,1580021435,96,43.66,-110.72,32.0,4.56
435,ulladulla,28,AU,1580021521,44,-35.35,150.47,95.0,11.41
436,pathein,24,MM,1580021522,49,16.78,94.73,76.32,8.84
437,puerto baquerizo moreno,90,ES,1580021406,100,36.59,-6.23,44.6,2.24
438,guerrero negro,54,MX,1580021524,95,17.67,-100.0,52.92,1.68
439,gutierrez,75,CO,1580021524,87,4.25,-74.0,57.2,4.7
440,diamantino,100,BR,1580021524,93,-14.41,-56.45,73.0,5.01
441,cayhagan,8,PH,1580021525,75,9.67,122.43,82.15,6.51
442,sao joao da barra,13,IN,1580021525,21,20.51,76.21,82.44,3.53
443,soloneshnoye,100,RU,1580021525,94,51.65,84.32,17.49,3.09
444,imphal,20,IN,1580021527,48,24.82,93.95,66.2,4.7
445,frome,90,GB,1580021527,100,51.23,-2.32,48.2,9.17
446,manta,40,EC,1580021527,78,-0.95,-80.73,78.8,2.24
447,erzin,40,TR,1580021527,52,36.96,36.2,46.4,8.05
448,pennagaram,20,IN,1580021536,48,12.13,77.9,82.4,3.36
449,seguela,0,CI,1580021537,20,7.96,-6.67,62.35,1.81
450,vila,90,PT,1580021537,100,42.03,-8.16,52.0,4.7
451,adeje,20,ES,1580021537,54,28.12,-16.73,59.0,8.05
452,lensk,100,RU,1580021537,87,60.73,114.93,21.7,16.75
453,kandava,82,LV,1580021538,90,57.04,22.77,37.92,14.29
454,vitim,100,RU,1580021538,88,59.45,112.56,22.6,14.34
455,hammerfest,100,NO,1580021538,79,70.66,23.68,19.4,24.16
456,pitimbu,20,BR,1580021538,94,-7.47,-34.81,78.8,2.24
457,griffith,90,US,1580021539,93,41.53,-87.42,34.0,11.41
458,nicoya,3,CR,1580021539,85,10.15,-85.45,66.99,25.01
459,birkenfeld,90,DE,1580021539,92,48.87,8.63,36.0,2.24
460,srandakan,35,ID,1580021539,62,-7.94,110.25,87.19,8.43
461,fergus falls,1,US,1580021540,73,47.3,-109.27,33.8,19.46
462,manakara,11,MG,1580021540,57,-22.13,48.02,81.39,1.95
463,bowen,90,AU,1580021540,78,-20.02,148.23,84.99,10.29
464,azua,66,DO,1580021540,1,18.45,-70.73,54.0,3.47
465,san cristobal,25,ML,1580021540,11,13.3,-4.9,69.93,10.94
466,broome,90,US,1580021540,94,42.25,-75.83,34.0,5.82
467,taltal,19,CL,1580021540,90,-25.4,-70.48,65.93,5.32
468,mayo,90,US,1580021543,65,38.89,-76.51,44.6,10.29
469,mayumba,44,GA,1580021543,74,-3.43,10.66,83.05,1.7
470,deer lake,90,US,1580021543,86,38.62,-91.8,33.01,1.57
471,kondinskoye,100,RU,1580021543,95,59.65,67.41,2.88,8.12
472,say,0,NE,1580021543,13,13.1,2.37,68.0,8.05
473,faanui,82,PF,1580021513,75,-16.48,-151.75,82.58,11.36
474,les cayes,99,ES,1580021543,94,42.81,0.71,39.99,3.49
475,sovetskiy,95,RU,1580021544,96,61.36,63.58,-0.81,3.31
476,imbituba,17,BR,1580021360,94,-28.24,-48.67,71.6,6.93
477,visby,59,SE,1580021544,86,57.64,18.3,43.0,18.34
478,naliya,0,IN,1580021545,36,23.27,68.83,79.54,7.83
479,sotik,100,KE,1580021545,82,-0.68,35.12,65.61,5.41
480,roald,75,NO,1580021500,70,62.58,6.13,46.4,14.99
481,bakuriani,0,GE,1580021546,76,41.75,43.53,11.44,3.51
482,sampit,67,ID,1580021546,82,-2.53,112.95,80.19,4.38
483,chapais,90,CA,1580021546,85,49.78,-74.85,23.0,9.17
484,frontera,100,MX,1580021546,49,26.93,-101.45,65.14,7.45
485,matay,0,EG,1580021515,58,28.42,30.78,46.53,5.95
486,mahibadhoo,99,MV,1580021547,76,3.78,72.97,81.59,11.9
487,hoi an,40,ID,1580021547,71,-9.83,124.43,85.78,6.31
488,vyartsilya,89,RU,1580021547,94,62.18,30.69,25.21,4.83
489,bathsheba,20,BB,1580021548,83,13.22,-59.52,75.2,4.7
490,isiro,93,CD,1580021548,33,2.77,27.62,69.89,5.55
491,xichang,88,CN,1580021548,63,27.9,102.26,35.42,8.37
492,luzhou,0,CN,1580021544,46,28.87,105.44,55.45,2.51
493,komsomolskiy,75,UZ,1580021549,80,40.43,71.72,39.2,2.24
494,alyangula,100,AU,1580021549,56,-13.85,136.42,95.0,5.82
495,lata,20,PT,1580021549,93,40.16,-8.33,48.0,3.36
496,kralendijk,100,BQ,1580021549,94,12.15,-68.27,73.4,7.29
497,acapulco,5,MX,1580021550,83,16.86,-99.89,77.0,4.7
498,piltene,90,LV,1580021550,93,57.22,21.67,42.8,18.34
499,bahia blanca,100,BR,1580021550,92,-12.0,-42.0,65.19,3.38
500,hamilton,90,US,1580021550,86,39.18,-84.53,33.8,9.17
501,paamiut,44,GL,1580021550,66,61.99,-49.67,17.19,25.59
502,washington,90,US,1580021313,86,47.5,-120.5,37.0,4.7
503,kamen-rybolov,0,RU,1580021551,85,44.75,132.04,18.55,6.38
504,mpika,12,ZM,1580021551,87,-11.83,31.45,67.66,4.63
505,llanes,8,ES,1580021551,10,43.42,-4.75,46.0,4.41
506,belen,13,TR,1580021551,69,36.49,36.22,45.0,4.7
507,melbu,79,NO,1580021556,68,68.5,14.83,25.0,8.01
508,buncrana,100,IE,1580021556,89,55.13,-7.45,43.83,13.47
509,podgorica,90,ME,1580021556,100,42.44,19.26,50.0,1.59
510,baghdad,0,IQ,1580021421,75,33.34,44.4,46.4,9.17
511,vulcan,73,RO,1580021556,94,45.38,23.27,31.14,1.19
512,nuuk,100,GL,1580021556,85,64.18,-51.72,12.2,8.05
513,ordzhonikidze,100,KZ,1580021355,94,52.44,61.74,25.0,20.11
514,hongjiang,98,CN,1580021557,82,27.11,110.0,40.44,4.76
515,pingliang,100,CN,1580021558,72,35.54,106.69,25.48,8.93
516,vanavara,82,RU,1580021558,82,60.34,102.28,18.18,14.79
517,qax,0,AZ,1580021558,51,41.42,46.92,35.6,4.7
518,chuy,1,UY,1580021558,82,-33.7,-53.46,64.38,2.93
519,yeppoon,99,AU,1580021558,48,-23.13,150.73,87.8,12.75
520,kazuno,75,JP,1580021558,70,40.18,140.79,36.0,9.17
521,tan an,82,CM,1580021559,27,6.07,10.69,57.69,2.71
522,cao bang,16,ES,1580021559,75,43.14,-5.7,46.0,1.12
523,sorong,70,ID,1580021559,57,-0.88,131.25,89.8,5.99
524,asau,29,RO,1580021559,92,46.43,26.4,30.0,2.24
525,panjab,0,AF,1580021559,74,34.39,67.02,10.13,1.9
526,dongsheng,0,CN,1580021559,59,39.82,109.98,28.89,3.69
527,emerald,75,AU,1580021560,94,-23.53,148.17,77.0,14.99
528,jumla,74,NP,1580021560,82,29.27,82.18,46.99,1.99
529,kawalu,75,ID,1580021560,69,-7.38,108.21,82.18,6.6
530,hobyo,99,SO,1580021560,66,5.35,48.53,82.6,19.55
531,tahoua,31,NE,1580021561,16,14.89,5.27,62.6,6.93
532,marsa matruh,20,MT,1580021561,100,35.88,14.5,55.99,5.82
533,caibarien,5,CU,1580021561,93,22.52,-79.47,59.0,2.24
534,port moresby,99,CD,1580021440,74,-7.03,29.76,75.7,2.24
535,ust-ilimsk,100,RU,1580021561,82,58.0,102.66,23.74,9.33
536,mackay,90,AU,1580021562,94,-21.15,149.2,81.0,9.17
537,oussouye,75,SN,1580021562,73,12.48,-16.55,73.4,11.41
538,alto araguaia,90,US,1580021562,93,31.65,-95.07,55.0,4.7
539,kalabo,30,ZM,1580021562,83,-14.97,22.68,70.81,6.04
540,bubaque,96,GW,1580021562,70,11.28,-15.83,77.43,5.32
541,iglino,90,RU,1580021562,100,54.83,56.41,21.2,2.24
542,arlit,10,NE,1580021563,12,18.74,7.39,63.3,8.46
543,christchurch,33,NZ,1580021524,77,-43.53,172.63,70.0,12.75
544,sapouy,41,BF,1580021563,9,11.55,-1.77,70.81,9.66
545,cabedelo,20,BR,1580021563,94,-6.98,-34.83,78.8,2.24
546,gaoual,50,GN,1580021563,31,11.75,-13.2,65.25,2.75
547,lagoa,100,PT,1580021564,64,39.05,-27.98,57.9,8.25
